女书字符	汉字	《字帖》序	土话代表发音	图片散列值（Hash）	备注
𛇖	亮谅量	100	liang33	a99a68698cddbb436d6365a09d64dc81	
𛇗	长撑掌讲	102	tciang35	9188be86fbe4fa743253d962027ba2ff	
𛇘	娘	103	njiang42	99594002a21a1f5fb1aa03ff87607122	
𛇙	便边鞭辫片偏	105	peng44	bccd0609c1f0062b225348fd12185194	
𛇚	先仙鲜	104	seng44	61f45d5271204769a02613d421a94876	
𛇛	丙评平瓶	107	piong42	0761d6c5b26a4964b75419ea81c0ef5d	
𛇜	听	106	tshiong21	5a6f3271ccc68e625f118e8855219a8b	
𛇝	占见建敬件	108	tcing21	ad569c2049fe46c8bddabd1816273526	
𛇞	笔	109	pa5	a318274bdf905ce76adae097dca4348f	
𛇟	知立泪虑厉利笠雷	110	la33	89a3689bcdd0e762b69282ce49b30448	
𛇠	此齿刺次写些伞省且	123	sie35	6fda6f9ca1e70abf8c06e02c9eb84a98	
𛇡	毑	394	tcie35	732028a0382969087c17afb369f08fa9	
𛇢	个派	395	ie21		无图片
𛇣	报被拜摆跛败拔沸皮	113	poe21	5a5e885112cbfec5df3a3bc54430c2ca	
𛇤	来	115	loe42	1ca561923ba0976126c08fdec50660c4	
𛇥	在再载债灾栽	116	tsoe13	1b1eff66f547322c9411aaffbb596d75	
𛇦	采插踩煞杀刹死	117	soe5	91e113df1a025dfb4942d786bc46cc4e	
𛇧	揩街阶皆架价嫁介乖该改盖告怪	118	koe44	1913ae1f096dcf9cafb6e7db840108dd	
𛇨	快块	119	khuoe21	7854a9d888e9e847eb52f81cd58fe1bd	
𛇩	忧夜运野益闰惹弱	120	ye21	5a1a521ab9ff12239c187966365a8f17	
𛇪	把白吧便变拍培	121	pwe33	fc3879c7396623425486e9346303206c	
𛇫	百佰柏北拔拨缽迫拍泼	122	pwe5	77ccccffbb5e90d9087399c27e727dac	
𛇬	既气弃契	124	tchi21	154627f1df217b18edfd9bb5e3c6f90d	
𛇭	除厨住柱助足聚樵	125	tsiu33	74d59c426471c63a5232fca1261e4d8e	
𛇮	鞋和何蝴荷胡豪毫耗芙扶	126	fu42	c55ff36d4a5d9980c46e2dc75ca08e99	
𛇯	嬷禾和雨鹅无武乌	129	vu42	7b094350a352d231f25601ad4122502e	
𛇰	苦枯虎湖古果鼓股故过固	127	khu35	879389f5939d68e7e8a1f75fc99c6778	
𛇱	哭屋	128	hu5	dd0581d96834b06d04c5779a5a9d6057	
𛇲	拨背杯变卜霸妇陪拍怕帕配赔聘	130	pw13	8a9e0bc56e6872412069a1f3e57fe425	
